title,price,description,rating,image
Mountain House Breakfast Skillet - 2 Servings,$10.95,"Hash browns, scrambled eggs, crumbled pork patty, peppers and onions for breakfast! The Mountain House Breakfast Skillet lets you eat well on the trail or in your tent.",4.2,https://www.rei.com/media/6ab84306-a71a-4e8c-9e9c-c23932f03178?size=784x588
Dometic CFX3 75 Dual Zone Powered Cooler,"$1,400.00","Built for tough outdoor use, the Dometic CFX3 75 Dual Zone powered cooler features a robust design and ExoFrame construction so you can bring more of the food and drinks you love wherever you go.",4.5,https://www.rei.com/media/803a3255-737a-4cba-816e-572c55ef0531?size=784x588
Igloo ECOCOOL Roller Cooler - 90 qts.,$139.95,"Built to handle long-haul drives and fishing trips, the 90-quart Igloo ECOCOOL Roller cooler provides 5 days of ice retention and all-terrain wheels that make it easy to bring anywhere.",4.2,https://www.rei.com/media/5877b172-4630-41a5-b8d8-9d10cad8793f?size=784x588
Mountain House Beef Stroganoff - 2 Servings,$10.95,"Ready to go in just 10 minutes, the Mountain House Beef Stroganoff is perfect for when you're looking for something easy to make for the weekend campout or you just need a quick meal after work.",4.5,https://www.rei.com/media/b1375dce-0d28-4973-9f60-730c8b578191?size=784x588
Coleman Cascade 222 2-Burner Camp Stove,$170.00,Level up your food game with the Coleman Cascade 2-burner stove. It makes it easy to cook great meals outdoors—perfect for those times when trail mix just won't cut it.,4.8,https://www.rei.com/media/0bbc01c7-af08-442c-8f5c-f5fd43c1d6cd?size=784x588
Dometic CFX3-25 Powered Cooler,$900.00,"Bring more of the food and drinks you love, wherever you go. With its robust design and convenient mobile app, the Dometic CFX3-25 powered cooler helps you go farther, stay longer and experience more.",5.0,https://www.rei.com/media/8e248faf-bdfc-41a4-94b5-5778745b3f66?size=784x588
MSR PocketRocket Deluxe Stove,$79.95,"Only a smidge heavier than the original, the ultralight MSR PocketRocket Deluxe stove adds a durable, push-start igniter and a broader burner head for better heat distribution and simmering.",4.5,https://www.rei.com/media/591f6cfa-22fd-4372-9ee9-766127cbcc44?size=784x588
REI Co-op Pack-Away 12 Soft Cooler,$34.95,"Fold the REI Co-op Pack-Away 12 soft cooler flat, stash it in your trunk, and you're always ready to haul cold goodies to a rendezvous at the beach or park.",4.5,https://www.rei.com/media/7d6afa33-fbb2-42ef-a1df-c6942c60427c?size=784x588
YETI Lowlands Blanket,$200.00,"Get cozy at outdoor concerts, tailgates or backcountry post-ups with the all-terrain comfort of the YETI Lowlands Blanket. It's waterproof on the outside and soft, padded and insulated on the inside.",4.8,https://www.rei.com/media/d87a20db-83bb-4891-af55-7ec0ad99ba73?size=784x588
PEAK REFUEL Thai Chicken Coconut Curry - 2 Servings,$13.95,"Is there anything better than curry in the backcountry? Unlikely. Serving up protein and rich, delicious flavor, this PEAK REFUEL Thai Chicken Coconut Curry is a great choice for any trail adventure.",4.9,https://www.rei.com/media/13dfced9-cc5d-4952-aac6-057919625b05?size=784x588
Mountain House Lasagna with Meat Sauce - 2 Servings,$10.95,"Made with real meat sauce, cheese and noodles, the Mountain House Lasagna with Meat Sauce is a comforting, nearly instant meal that can be enjoyed anywhere around the world at any given time.",4.4,https://www.rei.com/media/9de1194e-5586-443b-beca-52c452251ba3?size=784x588
YETI DayTrip Lunch Box,$80.00,"Stash everything you're craving in the YETI DayTrip lunch box. With insulation, a water-resistant shell and leakproof liner, it's great for hard days on the ranch, fishing trips and city commutes.",4.1,https://www.rei.com/media/a14a992a-3da5-4616-a914-e565f80f6369?size=784x588
Jetboil Stash Cooking System,$134.95,"The lightest and most-compact Jetboil stove yet, the Jetboil Stash cooking system weighs a mere 7.1 oz., making it 40% lighter than the Zip and the perfect companion on light and fast journeys.",4.4,https://www.rei.com/media/27d4c64e-77df-47d5-96f1-5db732d8dc6e?size=784x588
Soto WindMaster Stove with 4Flex Pot Support,$64.95,"Featuring an award-winning micro regulator for strong performance in cold and windy weather, the Soto WindMaster stove comes with a 4Flex pot support for stable performance.",4.8,https://www.rei.com/media/71e52ee4-c315-44ee-99c2-bdc2a15b5120?size=784x588
Ooni Pizza Ovens Karu 12 Multi-Fuel Pizza Oven,$399.00,"Fueled by real wood or charcoal, the Ooni Karu 12 multi-fuel pizza oven cooks authentic wood-fired, stone-baked pizza in any outdoor space in just 60 seconds.",4.7,https://www.rei.com/media/8b118bc0-0de3-4220-ad8a-a664ea6b615d?size=784x588
Mountain House Chicken Teriyaki with Rice - 2 Servings,$10.95,Now you can take your favorite takeout item anywhere you want thanks to the Mountain House Chicken Teriyaki with Rice. Just add hot water and you'll be ready to enjoy this comforting meal in minutes.,4.5,https://www.rei.com/media/b83033dc-281a-4139-97e0-e964c7242ef0?size=784x588
Backpacker's Pantry Pad Thai - 2 Servings,$9.95,"Spicing up a classic with Sriracha sauce and lime, this Backpacker's Pantry Pad Thai is a protein-packed, zesty camping meal packed with crunchy peanuts and Thai rice noodles.",3.8,https://www.rei.com/media/9052c311-5f0f-4f55-9f3a-b92c3b99e3c4?size=784x588
MSR PocketRocket Stove Kit,$109.95,"The MSR PocketRocket stove kit combines the tiny-but-powerful PocketRocket stove and the lightweight, nesting MSR Trail Lite Duo System cookset.",4.8,https://www.rei.com/media/82ae70ff-3c41-41a3-89a2-47167bb1360c?size=784x588
MSR WhisperLite International Backpacking Stove,$129.95,"The redesigned MSR WhisperLite™ International backpacking stove has the same fundamental design as its predecessor, only it's now 10% lighter for even greater portability.",4.6,https://www.rei.com/media/180ddf1a-1441-4091-8c62-d0cc1f702b8c?size=784x588
Jetboil Flash Java Kit Cooking System,$129.95,Brewing coffee in the backcountry is just as easy as whipping up a cup at home with the Jetboil Flash Java Kit. Boil 2 cups of water in 100 seconds and use the press to pour the perfect cup of joe.,4.5,https://www.rei.com/media/c583e5b5-8f10-4ffa-a311-dad85dc5ba87?size=784x588
PEAK REFUEL Chicken Pesto Pasta - 2 Servings,$13.95,"Settle down after a hike and restore your energy with PEAK REFUEL Chicken Pesto Pasta, a protein-rich mix of ziti noodles, real white chicken, spices and Parmesan cheese in Italian-style pesto sauce.",4.7,https://www.rei.com/media/161d36dc-7696-42d8-bc21-0d2f0a874d07?size=784x588
Eureka Ignite Plus 2-Burner Camp Stove,$154.95,"Full size and fully featured, the portable Eureka Ignite Plus 2-burner camp stove helps you create culinary masterpieces while camping. The Plus sizing is perfect for group camps.",4.5,https://www.rei.com/media/5ab1134f-d86e-47ef-98d1-fcc7c631574c?size=784x588
Mountain House Chili Mac with Beef - 2 Servings,$10.95,"Whether you're trekking the Sierra Nevada or camping with the Boy Scouts right in your backyard, the Mountain House Chili Mac with Beef fills you right up at the end of a long day.",4.4,https://www.rei.com/media/59c5ff9b-ee57-4b61-a836-b762e81ea97a?size=784x588
MSR PocketRocket 2 Mini Stove Kit,$89.95,"A complete cook-and-eat solution for solo backpackers, the ultra-compact MSR PocketRocket 2 Mini stove kit has a nesting design that saves precious space and slips easily into smaller packs.",4.6,https://www.rei.com/media/18201b9d-3460-4cf5-9067-2a0a0d93ef02?size=784x588
Camp Chef Mountaineer 2X Stove,$390.00,"Great for overlanding and car camping, the Camp Chef Mountaineer 2X camp stove features full aluminum construction and a suitcase-style latching lid so it's easy to transport wherever the trail leads.",4.5,https://www.rei.com/media/f06341dc-a5e7-435e-a4c6-a6f71ebafec3?size=784x588
REI Co-op Pack-Away 24 Soft Cooler,$49.95,"Talk about spur of the moment party prep—the REI Co-op Pack-Away 24 soft cooler goes from folded flat in your trunk to loaded with ice and 24 cans in a flash. And just like that, you're ready for fun.",5.0,https://www.rei.com/media/dba69184-2698-4e70-a042-bc06f19fda42?size=784x588
NEMO Victory Patio Blanket,$99.95,"Soft to the touch, durable and abundantly luxurious, the NEMO Victory Patio blanket serves as a base for beach activities, a shelter welcome mat or wall-to-wall carpeting inside your tent.",4.5,https://www.rei.com/media/e4140240-904c-4164-903b-477b9e705c48?size=784x588
Mountain House Classic Spaghetti with Meat Sauce - 2 Servings,$10.95,"What better way to end a long day than with a hearty meal? The Mountain House Classic Spaghetti with Meat Sauce gives you that wholesome, comforting flavor in hardly any time at all.",4.4,https://www.rei.com/media/722b9541-dd65-4910-a608-a9d050300857?size=784x588
PEAK REFUEL Chicken Alfredo Pasta - 2 Servings,$13.95,"Recharge after a tough climb or hike with PEAK REFUEL Chicken Alfredo Pasta, a protein-rich mix of real chicken breast, creamy cheeses and Alfredo sauce that's served up mush-free to hit the spot.",4.8,https://www.rei.com/media/5e48a5b5-3bd9-4aa1-84af-9e753eaa77f4?size=784x588
Backpacker's Pantry Santa Fe Style Rice & Beans with Chicken - 2 Servings,$11.95,"Packed with flavorful vegetables and chicken, the Backpacker's Pantry Santa Fe Style Rice & Beans with Chicken is a hearty Southwestern favorite with hatch chilis taking center stage.",4.3,https://www.rei.com/media/9b74ed17-7cd6-445e-a353-88fe127d17fa?size=784x588
PEAK REFUEL Sweet Pork and Rice - 2 Servings,$13.95,"Settle down after a grueling hike to restore your energy with PEAK REFUEL Sweet Pork and Rice, a sweet yet savory source of  protein- and iron-rich pulled pork, white beans, veggies and spices.",4.6,https://www.rei.com/media/ec972095-6eb2-4039-b1b7-b77459c7e717?size=784x588
Backpacker's Pantry Three Cheese Mac & Cheese - 2 Servings,$8.95,"A great meal at home, on the trail or in the dorms, this Backpacker's Pantry Three Cheese Mac & Cheese becomes a hot, savory and hearty dinner for two in just 15 minutes.",3.5,https://www.rei.com/media/92ad3b09-d721-41e4-870c-e28ceaf8ab54?size=784x588
Ignik FireCan Portable Fire Pit,$199.95,"Built to bring the warm glow of a campfire to your backyard, tailgate or campsite, the Ignik FireCan fire pit easily goes wherever you do—without the limitations of a traditional wood fire.",4.4,https://www.rei.com/media/35f3db56-5d1d-43db-889f-12d70d74d4d9?size=784x588
Jetboil Summit Skillet,$44.95,"Your meals on the trail deserve to be as good as your adventures. Serve up sizzling pancakes or a tasty scramble in the lightweight, nonstick Jetboil Summit skillet with nesting handle and spatula.",4.6,https://www.rei.com/media/8e853d1b-fe35-42c3-9e07-d27610c657b6?size=784x588
NUUN Sport Hydration Tablets - 10 servings,$7.50,"Breaking a sweat? Packed with complete electrolytes, NUUN Sport hydration tablets turn your water into go-the-extra-mile water. Plop, fizz, drink and go!",4.5,https://www.rei.com/media/a18b684c-bb5c-42d1-b26e-f877c87a0b22?size=784x588
Backpacker's Pantry Peanut Butter Banana Oatmeal - 1 Serving,$5.95,"A plant-based breakfast to fuel your backcountry adventures, Backpacker's Pantry Peanut Butter Banana Oatmeal is easy to make—just add water—so you can focus on the sunrise, not cooking.",4.5,https://www.rei.com/media/30757e76-ff68-433a-94ab-365bdd3fcca4?size=784x588
Dometic GO Hydration Water Faucet,$99.95,"Get running water without a kitchen in sight. This Dometic GO Hydration water faucet provides a steady stream of water with just a touch for cooking, filling water bottles and brushing your teeth.",4.0,https://www.rei.com/media/48165094-6c57-41eb-aaa7-0902ca027bc2?size=784x588
Backpacker's Pantry Blueberry Peach Crisp - 2 Servings,$8.95,"Inspired by traditional recipes from the South, this Backpacker's Pantry Blueberry Peach Crisp treats you to sweet blueberries, juicy peaches and a buttery, crisp finish with a hint of cinnamon.",4.3,https://www.rei.com/media/1d1f0b8a-5f4e-4b58-a3f4-d1ea6a0c6804?size=784x588
TOAKS Titanium 750ml Pot,$34.95,"Cut weight but keep convenience with the TOAKS Titanium 750ml pot. Its ultralight construction holds up to wear and tear on the trail, and boils enough water for dehydrated meals plus coffee or tea.",4.8,https://www.rei.com/media/fb1f5d88-04e0-4f41-a759-387fb75f0426?size=784x588
IceMule Pro Cooler - 33 Liters,$139.95,"Making a cool climate for tasty snacks and frosty beverages during backcountry adventures, music festivals and treks across town, the 33L IceMule Pro cooler lets you transport 24 cold cans, plus ice.",4.7,https://www.rei.com/media/cb718dfe-87ff-492c-ae0d-3fa1085e74d0?size=784x588
PEAK REFUEL Beef Stroganoff - 2 Servings,$13.95,"Follow the trail to home-cooked comfort in the backcountry with PEAK REFUEL Beef Stroganoff, a hearty, protein- and iron-rich blend of noodles, real ground beef, mushrooms and spices to fuel you up.",4.2,https://www.rei.com/media/7a393a98-f45b-43d0-95af-a8b253a0118b?size=784x588
MSR IsoPro Fuel Canister - 8 oz. / 227g,$6.95,"With an 80/20 blend of isobutane and propane, the MSR IsoPro Fuel Canister in the 8 oz. (227g) size is perfect for extended adventures.",4.8,https://www.rei.com/media/0cd019cc-f7ce-4ea6-99f3-71ad699dc084?size=784x588
Ignik Gas Growler X-Pro,$209.93,"Including everything you need to stop using single-use propane bottles today, the Ignik Gas Growler X-Pro is a portable, refillable, low-waste solution for heating and cooking in the outdoors.",4.0,https://www.rei.com/media/98d3b713-8704-4171-af14-47ae30784753?size=784x588
Mountain House Pad Thai with Chicken - 2 Servings,$10.95,"You might not be able to call for takeout in the backcountry, but thanks this Pad Thai with Chicken, you probably won't miss it. The flavors of this Mountain House meal will knock your wool socks off.",4.5,https://www.rei.com/media/61508617-318b-4f81-a1cf-803b9f916c54?size=784x588
Mountain House Biscuits & Gravy - 2 Servings,$8.75,"Eat well on the trail or in your tent with Mountain House Biscuits & Gravy. Hot fluffy buttermilk biscuits with creamy pork sausage gravy make for a hearty, family-favorite breakfast.",4.2,https://www.rei.com/media/578c0273-a2c2-4444-9052-032875ebe41d?size=784x588
MSR PocketRocket Deluxe Stove Kit,$124.95,"Sized for 2 but light enough for 1, the MSR PocketRocket® Deluxe stove kit takes your ultralight adventures up a notch with deluxe features that enhance your cooking experience out on the trail.",4.7,https://www.rei.com/media/a60e28d6-6a04-4995-be86-4c1268493344?size=784x588
SaltStick Fastchews Chewable Electrolyte Tablets - 60 Tablets,$15.00,"Mirroring the electrolyte profile lost in sweat, SaltStick Fastchews offer a scientifically derived, proprietary high-performance formula in a form and quantity the body can absorb.",4.9,https://www.rei.com/media/d53936e7-bed0-435e-a0d0-5014e3bb4a1a?size=784x588
Mountain House Veggie Chorizo Breakfast Scramble - 2 Servings,$10.95,"Loaded with flavor and just the right level of heat, the Mountain House Veggie Chorizo Breakfast Scramble is the perfect meatless way to start your day on the trail, at home or on the road.",4.8,https://www.rei.com/media/e738143b-d0a5-4661-9d37-e8f0aa4b07d7?size=784x588
Mountain House Rice & Chicken - 2 Servings,$10.95,"No matter the adventure, you need carbs and protein to keep you energized—and that's exactly what you'll get with Mountain House Rice & Chicken.",4.3,https://www.rei.com/media/93272319-d1a4-4d74-88a9-6a77ac10c6be?size=784x588
Jetboil Zip Cooking System,$87.95,"The Jetboil Zip™ stove system delivers the same great performance and reliability of the original Jetboil at an even better price. It's more compact and lighter weight, too!",4.4,https://www.rei.com/media/64d0f1f0-b8c7-4c58-8150-69a3f6dbbf7f?size=784x588
PEAK REFUEL Breakfast Skillet - 2 Servings,$13.95,"When you need a little extra push to climb out of your morning, PEAK REFUEL Breakfast Skillet gives you all the energy with a protein-rich meal of eggs, potatoes, peppers, and real sausage.",4.2,https://www.rei.com/media/c42d90b2-5f68-44f2-a2c5-ea8fc5104934?size=784x588
TOAKS Titanium Long Handle Spoon with Polished Bowl,$10.95,"Ideal for eating, stirring or scraping the last scraps from your dehydrated meal pouch, the TOAKS Titanium Long Handle Spoon with Polished Bowl is a durable, light addition to your ultralight kit.",4.7,https://www.rei.com/media/ba5b69e7-b634-46f1-87f0-dfad8f8637af?size=784x588
TOAKS Titanium 1100ml Pot with Pan,$48.95,"Versatile and lightweight, the TOAKS Titanium 1100ml pot with pan provides a corrosion-resistant backcountry cookset that weighs only 5.6 oz.",4.3,https://www.rei.com/media/e6a98bc1-09ae-44d6-a7d9-6a6dd9a1be5f?size=784x588
