title,brand,price,description,rating,image,feature
Athleta Headlands Hybrid Cargo II Tights - Women's,Athleta,$119.00,"For brushy trails and hard rock faces, you need adventure-ready durability. Athleta Headlands Hybrid Cargo II tights feature an abrasion-resistant fabric that resists snags. Plus, they have 6 pockets.",4.8,https://www.rei.com/media/ad03b97d-bc6f-487c-a8db-575b4dcbc757?size=576x768,"['High-rise design is fitted next to the body and sits at natural waist', 'Durable recycled nylon/spandex fabric resists nicks and tears on cold-weather explorations', 'UPF 50+ fabric provides excellent protection against harmful UV rays', 'Durable water repellent (DWR) finish helps moisture bead up on the surface to protect against light mists', 'Internal, adjustable drawcord helps you get the right fit', ""6 secure-zip pockets keep essentials handy when you're hiking trails or roaming around town"", 'Machine wash and dry']"
Patagonia Happy Hike Studio Pants - Women's,Patagonia,$89.00,"With a wide waistband and 4-way stretch, the women's Patagonia Happy Hike Studio mid-rise pants offer plenty of comfort and freedom of movement.",3.8,https://www.rei.com/media/74e70930-96ed-4d0c-b5de-6aec0ef1cd4b?size=576x768,"['Lightweight stretch-woven fabric is made of 89% recycled polyester/11% recycled spandex', 'Durable water repellent (DWR) finish helps moisture bead up on the surface', 'Soft-knit, elasticized waistband allows for mobility and comfort; miDori™ bioSoft adds wicking and softness, and HeiQ® Pure helps control odor in the fabric', 'Waistband is made with NetPlus® postconsumer recycled nylon from recycled fishing nets to help reduce ocean plastic pollution', 'Partially elasticized cuffs at the ankles can be pushed up to calves', '2 front drop-in handwarmer pockets with tonal double-needle stitch detail; 2 rear pockets (1 with a secure zipper)', 'Simple secure welt pocket at thigh', 'Fair Trade Certified™ sewn, which means the people who made it earned a premium for their labor']"
REI Co-op Groundbreaker Fleece Jacket 2.0 - Men's,REI Co-op,$49.95,"Some gear only gets used twice a year, and that's fine, but the men's REI Co-op Groundbreaker fleece jacket 2.0—upgraded with a trimmer fit and finer fleece—is gear you'll want to use every day.",4.5,https://www.rei.com/media/dc38f6a0-1519-42b1-abdb-d4d146f8ab3a?size=576x768,"['Plush, durable and now slightly lighter 2.0 fleece is comfortable year-round—wear it alone in cool weather, layered in cold', 'Shoulder seams are rolled forward to prevent chafing under pack straps', 'Zip hand pockets secure your valuables', 'Stretch binding at cuffs and waist keep cold out, warmth in, cold out']"
REI Co-op Sahara Convertible Pants - Women's,REI Co-op,$79.95,"Heart-pumping switchbacks to hike, rushing streams to ford—all reasons to love the women's REI Co-op Sahara convertible pants. You don't even have to sit down to turn them into shorts!",4.1,https://www.rei.com/media/80f1af66-fe96-4357-ac5b-2e3abe1eeed4?size=576x768,"[""Made with stretch recycled nylon that's durable enough to handle switchback days on the trail and log-sitting nights around the campfire"", 'Durable water repellent (DWR) coating sloughs off moisture while lightweight nylon dries fast if it does get wet', 'Low-bulk fabric with flatseam stitching not only prevents chafing, it also allows pants to pack down small', 'Color-coded thigh zippers help you determine the right leg from the left leg when converting the shorts back to pants', 'UPF 50+ fabric shields against harmful UV rays', 'Elastic back waistband allows you to move freely and comfortably', 'Drawstring waist lets you dial in the fit', 'Loaded with pockets for essentials, including front hand pockets, back pockets and cargo pockets (1 zippered)', 'Reinforced cuff backs stand up to abrasion from hiking boots', 'Zip fly with button closure', 'Made to reflect our love for people and the planet through the use of recycled nylon and bluesign®-approved materials', 'Recycled materials keep waste out of landfills and bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)']"
Darn Tough Hiker Micro Crew Cushion Socks - Men's,Darn Tough,$24.00,"Darn Tough Hiker Micro Crew Cushion socks provide miles of comfort and durability—tested on the Vermont Long Trail, these socks provide a high level of cushioned performance.",4.7,https://www.rei.com/media/6548e2f5-a1d5-4878-8ffc-b20c37c71804?size=784x588,"['Darn Tough uses a custom-count, shrink-treated merino wool that enhances comfort and durability for outdoor activities', 'Merino wool wicks away moisture and breathes to regulate temperature for outstanding comfort in a variety of conditions', 'Mid-level cushion density under foot', 'Provides reinforcement at the heels and toes and elastic support around the arch', 'Ring-toe construction hides seams and enhances comfort', 'Non-cushioned, wide-ribbed, crew-height legs', 'Darn Tough recommends that you machine wash socks inside out in warm water on gentle cycle and tumble dry on low']"
BlackStrap Daily Tube,BlackStrap,$6.83,"Whether you need a face mask, headband, helmet liner or scarf, the multifunctional BlackStrap Daily Tube has you covered. It's made in the USA with lightweight, UPF 50+ sun protective fabric.",4.1,https://www.rei.com/media/1ebd97c2-87b1-48aa-9529-3c0bd09f1592?size=576x768,"['Naturally antimicrobial fabric provides UPF 50+ protection from harmful UV rays', 'Finished seams; flatlock stitching offers a seamless feel on your skin', '4-way stretch fabric allows for a secure fit during activity', 'Soak in water for cooling effect', 'Machine-washable and dryer-friendly', 'Lens-safe fabric', 'One size fits most adults']"
REI Co-op Midweight Base Layer Tights - Women's,REI Co-op,$19.83,Start with a high performing first layer and enjoy your time in the snow more. The women's REI Co-op Midweight base layer tights have a smooth face for easy layering and are brushed inside for warmth.,4.7,https://www.rei.com/media/088d25db-014b-4983-937d-aae394fea566?size=576x768,"['Fabric wicks moisture and dries quickly to keep you comfortable', '4-way stretch delivers a flexible range of motion', 'Flatseam construction and a soft elastic waistband reduce bulk and chafing', 'UPF 50+ rating protects against sun rays']"
Patagonia Capilene Cool Daily Hoodie - Men's,Patagonia,$59.00,"Running, climbing or just hanging with friends, you'll enjoy the soft, stretchy and quick-drying comfort of the men's Patagonia Capilene Cool Daily hoodie.",4.7,https://www.rei.com/media/23eaab15-00c7-4f5c-9836-0c02050cc90a?size=576x768,"['Capilene® dries fast, wicks moisture and stretches', 'Polygiene® permanent odor control helps prevent the growth of odor-causing microbes in the fabric', 'bluesign®-approved, recycled polyester jersey feels light, soft and forgiving on the skin and features a clean design with a put-together look', 'miDori™ bioSoft plant-based fabric softener increases wicking speed and ensures longterm softness with minimal stitching and seaming for maximum skin comfort', 'Deep hood provides additional coverage from the sun', 'Fair Trade Certified™ sewing']"
Patagonia Baggies Shorts - Women's,Patagonia,$59.00,"Old school and still cool, these women's Patagonia Baggies shorts are great in and around the water—and they are made from recycled fishing nets to help reduce ocean pollution.",4.1,https://www.rei.com/media/87df4971-96e5-41ce-a02a-f77e2a76decd?size=576x768,"['NetPlus® 100% postconsumer recycled nylon faille is made from recycled fishing nets', 'PFC-free durable water repellent (DWR) finish helps the shorts shed light moisture', 'Brushed elastic waistband with drawcord is comfortable next to skin', 'Pockets are lined with polyester mesh for drainage', '5 in. inseam']"
Patagonia Lightweight Synchilla Snap-T Fleece Pullover  - Women's,Patagonia,$119.00,"Warm yet lightweight, the Snap-T fleece pullover for women delivers classic Patagonia style and versatility for all kinds of activities.",4.5,https://www.rei.com/media/3281db53-e6b7-4e39-948a-d6468b0c4151?size=576x768,"['Soft, durable 200-weight Synchilla® fleece insulates even when wet', '4-snap placket is reinforced with Supplex® nylon', 'Snap chest pocket on yoke seam', 'Contrast spandex binding on cuffs and hem', 'Fabric is bluesign® approved']"
alder Open Air Pants - Women's,alder,$152.00,"When you need pants that can keep up on your outdoor romps, pull on the women's Open Air pants from alder. They let you bend, stretch, climb, skip, sprint, twirl—and just have fun.",4.6,https://www.rei.com/media/e7c08c95-b2bd-4578-b30b-5a640cb82b2d?size=576x768,"['Gusset increases freedom of movement', '7 pockets', 'Reflective strip inside rear pockets', 'Key clip']"
Patagonia Nano Puff Jacket - Women's,Patagonia,$229.00,"As a sleek micro-belay parka on chilly rock routes or as an insulated layer in winter storms, the women's Patagonia Nano Puff jacket traps body heat and blocks wind using mostly recycled materials.",4.5,https://www.rei.com/media/21df3500-7347-41b9-b643-a742dc095c57?size=576x768,"['60 g PrimaLoft® Gold Insulation Eco, made with 100% postconsumer recycled content, is an incredibly thermally efficient synthetic insulation', 'P.U.R.E.™ (Produced Using Reduced Emissions) technology provides excellent warmth for its weight and stays warm when wet', 'Wrapped in a windproof and moisture-shedding 100% recycled polyester ripstop shell with a (durable water repellent) DWR finish', 'Brick quilting pattern with narrow horizontal quilt lines on side panels stabilizes insulation and uses durable thread for abrasion resistance', 'Elasticized cuffs and a dual-adjust drawcord hem seal out wind and seal in warmth', 'Center-front zipper has wicking interior storm flap and zipper garage at chin for next-to-skin comfort', 'Two zippered handwarmer pockets have cleanly finished zipper garages; zippered internal chest pocket doubles as a stuff sack with a reinforced carabiner clip-in loop']"
REI Co-op 650 Down Jacket 2.0 - Men's,REI Co-op,$69.93,"Right at the sweet spot of light enough for everyday wear, yet warm enough for trail duty, the men's REI Co-op 650 down 2.0 jacket now has a shell of recycled nylon taffeta.",4.4,https://www.rei.com/media/81fe85c6-8707-4dab-8b1d-017b42654c85?size=576x768,"['Recycled nylon shell fabric treated with a durable water repellent (DWR) finish sheds light rain and snow, and provides wind resistance', '650-fill-power down is lightweight and has an impressive warmth-to-weight ratio', 'Highly compressible—packs into its own left-hand pocket', 'Full-length front zipper; zip hand pockets', 'Stretch cuffs and hem hold in warmth, keep out cold and snow', 'Made to reflect our love for people and the planet through the use of recycled nylon, which keeps waste out of landfills', 'Made in a Fair Trade Certified™ factory, which promotes safe working conditions and sustainable livelihoods', 'Contains bluesign® materials, for which the manufacturer took deliberate steps to reduce negative impacts on the health of the environment, workers and wearer', 'Certified to the Responsible Down Standard (RDS), ensuring the down comes from animals that have not been subject to unnecessary harm, such as force-feeding or live-plucking']"
Outdoor Research Aspire II GORE-TEX Jacket - Women's,Outdoor Research,$156.93,"Updated with a longer length and modern design features but still just as ready for the rain, this women's Outdoor Research Aspire II GORE-TEX jacket is a worthy companion for wet weather.",4.8,https://www.rei.com/media/64c1cfdc-91d9-4946-9a30-6ad61443e7e3?size=576x768,"['GORE-TEX PACLITE® fabric with fully taped seams offers windproof and waterproof/breathable protection', 'TorsoFlo™ hem-to-bicep venting helps you shed heat during activity', 'Refined fit features a longer length and more modernized design', 'YKK Aquaguard® zippers and an internal front stormflap seal out rain', 'Fully adjustable hood adds coverage', 'Hook-and-loop cuff closures and an elastic drawcord hem seal in warmth', 'Zippered chest and hand pockets; key clip']"
Patagonia Down Sweater - Men's,Patagonia,$229.00,"This down sweater delivers ultralight, compressible warmth for your cold-weather fun outside while everyone else is languishing at the gym or huddled by the fireplace.",4.6,https://www.rei.com/media/549dc92a-83e7-468f-8429-147dda5c8e35?size=576x768,"['100% recycled ripstop shell and lining fabric have a durable water repellent finish', 'Traceable Down (third-party-verified, non-live-plucked, non-force-fed) 800-fill-power European goose down is stabilized with quilted-through construction', '2 exterior zippered pockets; interior chest pocket doubles as a zippered stuff sack with a carabiner clip-in loop', 'Comfortable nylon-bound elastic cuffs seal in warmth; drawcord hem tightens from inside the handwarmer pockets', 'Front zipper has wicking interior stormflap and zipper garage at the chin for next-to-skin comfort']"
REI Co-op 650 Down Jacket 2.0 - Women's,REI Co-op,$69.93,"The women's REI Co-op 650 Down jacket has enough insulation for trail duty, but it's light enough for everyday wear. The 2.0 version has a recycled nylon shell.",4.3,https://www.rei.com/media/cb51825d-7770-49e4-a57a-55163069d2b1?size=576x768,"['Recycled nylon shell fabric treated with a durable water repellent (DWR) finish sheds light rain and snow, and provides wind resistance', '650-fill-power down is lightweight and has an impressive warmth-to-weight ratio', 'Drawcord-adjustable hem seals in warmth', 'Highly compressible—packs into its own left-hand pocket', 'Full-length front zipper; zip hand pockets', 'Made to reflect our love for people and the planet through the use of recycled nylon, which keeps waste out of landfills', 'Contains bluesign® materials, for which the manufacturer took deliberate steps to reduce negative impacts on the health of the environment, workers and wearer', 'Certified to the Responsible Down Standard (RDS), ensuring the down comes from animals that have not been subject to unnecessary harm, such as force-feeding or live-plucking']"
REI Co-op Sahara Convertible Pants - Men's,REI Co-op,$79.95,Hot days that start out cold; icy creeks to ford—the men's REI Co-op zip-off Sahara pants take it all in stride. Just zip off the legs (you don't even have to sit down) and boom: shorts!,4.1,https://www.rei.com/media/336bc26b-e022-41dc-87da-726a375b3b83?size=576x768,"[""Made with stretch recycled nylon that's durable enough to handle hard-charging days on the trail and log-sitting nights around the campfire"", 'Durable water repellent (DWR) coating sloughs off moisture while lightweight nylon dries fast if it does get wet', 'Low-bulk fabric with flatseam stitching not only prevents chafing, it also allows pants to pack down small', 'Color-coded thigh zippers help you determine the right leg from the left leg when converting the shorts back to pants', 'UPF 50+ fabric shields against harmful UV rays', 'Full elastic back waistband allows you to move freely and comfortably', 'Loaded with pockets for essentials, including front hand pockets, back pockets and cargo pockets (1 zippered)', 'Reinforced cuff backs stand up to abrasion from hiking boots', 'Zip fly with button closure', 'Made to reflect our love for people and the planet through the use of recycled nylon and bluesign®-approved materials', 'Recycled materials keep waste out of landfills and bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)']"
"KUHL Freeflex Roll-Up Pants - Women's 32"" Inseam",KUHL,$99.00,"The women's KUHL Freeflex roll-up pants convert from pants to capris in a jiffy and feature plentiful stretch, sun-stopping protection and sweat-wicking performance.",4.7,https://www.rei.com/media/2accc573-df00-4c0a-bced-d6ae99ab78b2?size=576x768,"[""Lightweight FREEFLEX™ fabric provides spandex-free stretch that won't sag or bag with time; it also wicks moisture and dries quickly"", 'Versatile roll-up feature converts from 32 in. inseam pants to 21 in. capris', 'UPF 50 fabric shields against harmful UV rays', 'Hidden snap-closure pockets at the back and thigh', 'Wide waistband with internal drawcord adjustment allows you to fine-tune the fit']"
REI Co-op Sahara T-Shirt - Men's,REI Co-op,$29.95,"Quick drying material that makes it ideal for handwashing on multiday trips, the men's REI Co-op Sahara T-shirt wicks sweat, breathes and shades you with solid UPF 30 sun protection.",4.5,https://www.rei.com/media/48a3f17e-e358-4ef3-bd9f-d024aa2183f1?size=576x768,"['Quick-drying polyester/spandex fabric offers soft, comfortable stretch', 'Antimicrobial treatment inhibits growth of odor-causing bacteria', 'Shoulder seams rolled forward to avoid chafing under pack straps', 'UPF 30 sun protection']"
KUHL Renegade Convertible Pants - Men's,KUHL,$109.00,"KUHL Renegade convertible pants employ DURALUX™ fabric, a durable soft-shell fabric that feels like cotton, to deliver superior performance, comfort and style. Zip off the legs when things warm up.",4.4,https://www.rei.com/media/0cf19930-e3e7-4ba3-bb37-6b4152e4caca?size=576x768,"['Patented, stealth zip-off system eliminates the usual fabric flap while keeping the zipper running smoothly and efficiently; pants convert to 10 in. shorts', 'Strong and breathable, with abrasion resistance and a quick dry time, KUHL DURALUX fabric with a durable water repellent (DWR) outperforms standard nylon', 'UPF 50 sun protection', 'Gusseted crotch and full fit allow freedom of movement; mesh pocket bags provide ventilation', 'Waistband is slightly peached for increased wicking performance, fast drying time and unmatched comfort', 'Compartment pockets inside large cargo pockets keep items secure and organized', 'KUHL Full fit']"
Arc'teryx Beta LT Jacket - Women's,Arc'teryx,$319.99,"Simplified in design without sacrificing weather protection and performance, the women's Arc'teryx Beta LT jacket keeps things light, dry and comfortable in a breathable 3-layer GORE-TEX® shell.",4.7,https://www.rei.com/media/0ad73512-50de-49d0-a067-f940f3d6c7c3?size=576x768,"['Versatile and lightweight, this jacket delivers all-mountain performance for a wide range of activities in all types of weather', '3-layer GORE-TEX fabric with tricot backer delivers complete waterproof, windproof and breathable protection', 'Helmet-compatible StormHood™ provides a fully adjustable fit and coverage without impeding sight lines', 'Underarm zippers allow you to dump heat quickly', 'Articulated sleeves provide a full range of motion', 'WaterTight™ front zipper keeps moisture from slipping through the cracks', 'WaterTight pocket zippers and RS™ (Rain Shield) zipper sliders provide secure, water-resistant storage for your personal items', 'Adjustable cuffs secure the fit and help block drafts of cold air', 'Droptail hem provides added coverage to minimize skin exposure in cold conditions', 'Dual hem adjusters snug the fit and block cold air', 'GORE-TEX fabric is bluesign®-approved']"
Arc'teryx Atom LT Insulated Hoodie - Men's,Arc'teryx,$259.00,"As versatile as your adventures are varied, the men's Arc'teryx Atom LT Insulated hoodie with Coreloft™ Compact 60 insulation has been redesigned for better durability, resilience, comfort and fit.",4.7,https://www.rei.com/media/104d8be9-5e5d-4aee-a52b-9968ae8ea886?size=576x768,"['Warm and lightweight, Coreloft Compact 60 insulation resists packing out, so loft and performance are retained over time', 'Updated Tyono™ 20 face fabric has enhanced abrasion resistance and elevated protection from wind and moisture; a durable water repellent (DWR) finish sloughs off light rain', 'Highly breathable Dope Permeair™ 20 liner helps regulate temps during higher output activity; Dope dye process uses considerably less resources than traditional dye processes', 'Improved side panels offer increased durability, resisting wear and pilling while providing stretch, performance and breathability', 'Adjustable, insulated, low-profile StormHood™ with structured mini hood brim helps to minimize wind chill and provide protection in light rain', 'No Slip Zip™ main opening, zippered hand pockets and internal zippered chest pocket with custom thermoplastic polyurethane zipper pulls', 'Improved cuff design increases durability and eases layering and removal', 'Dual hem adjusters let you get a snug fit to keep warm air in']"
Patagonia Torrentshell 3L Jacket - Men's,Patagonia,$149.00,"Stay dry in less-than-ideal conditions. The 3-layer construction of the men's Patagonia Torrentshell 3L jacket has a new backer, making it more durable than its 2.5-layer predecessor.",4.5,https://www.rei.com/media/06105291-23c1-4264-afcf-1c4edadf1cf8?size=576x768,"['3-layer H2No® Performance Standard waterproof/breathable polyester with durable water repellent (DWR) coating sheds rain and snow', 'Face fabric is  constructed from post-consumer recycled materials (think: water bottles and salad bins)', '2-way-adjustable hood with a laminated visor rolls down and stows with a simplified cord-and-hook design', 'Microfleece-lined neck provides comfort and protects with a waterproof/breathable barrier', 'Snag-free center-front zipper with external and internal storm flaps and zipper-garage chin guard', '2 zippered handwarmer pockets and venting pit zips; all with welted exterior storm flaps and DWR (durable water repellent)-treated zippers', 'Self-fabric hook-and-loop cuff closures and adjustable drawcord hem seal out precipitation', 'Jacket self-stuffs into left handwarmer pocket with carabiner clip-in loop', 'Fair Trade Certified™ sewing means this was made in a Fair Trade approved facility, which promotes safe working conditions and sustainable livelihoods', 'bluesign®\xa0approved product means the company took deliberate steps to reduce negative impacts on the health of the environment, workers and wearer']"
REI Co-op XeroDry GTX Jacket - Women's,REI Co-op,$169.00,"The women's REI Co-op XeroDry GTX jacket is an easy-to-pack waterproof, breathable GORE-TEX shell that's durable, lightweight and surprisingly quiet—at a value only the co-op can provide.",4.4,https://www.rei.com/media/2210263b-59d7-4819-b9d3-dd39c7f49c64?size=576x768,"[""GORE-TEX PACLITE® gives you a windproof, waterproof and extremely breathable shell that's lightweight and easy to pack"", 'Durable water repellent (DWR) finish sheds drizzle', 'Articulation throughout for ease of movement', 'Zippered hipbelt-compatible hand pockets and convenient chest pocket keep essentials secure', 'Pockets are mesh lined to double as core vents', '2-point adjustable hood lets you fine-tune the fit and allows for improved vision', 'Hook-and-loop adjustable cuffs and hem drawcord seal out the elements']"
KUHL Jetstream Trench Coat - Women's,KUHL,$219.00,Don't let the weather slow you down. Embrace it! The KUHL Jetstream trench coat is crafted from state-of-the-art lightweight fabric with built-in stretch and boosted waterproof/breathable performance.,4.8,https://www.rei.com/media/4d7ecfc2-2844-4023-bab6-e8cd0a5944fc?size=576x768,"['2.5-layer Airskape™ hydrophilic membrane with dry-touch backer offers 20,000 mm/20,000 g of waterproof/breathable protection', 'Low-profile, adjustable hood with reinforced brim', 'High collar and fully sealed seams complete the weatherproof protection', '2-way front-zip closure with chin guard (34 in. length)', 'Internal drawcord adjusts the waist for a customized fit', 'Front-zip hand pockets; right pocket converts into stuff sack for packable convenience', 'Low-profile stretch cuffs with easy-adjust tabs', 'Split-back, droptail hem extends coverage and allows for greater mobility', 'Updated back print design has the look and feel of a 3-layer fabric']"
KUHL Renegade Rock Pants - Men's,KUHL,$95.00,"Designed with climbers in mind, the KUHL Renegade Rock pants feature a tapered fit and durable soft-shell fabric made for long days at the crag, on the trails or beyond.",4.7,https://www.rei.com/media/a202c3e6-636c-4c34-a65a-b4e3ff70c50d?size=576x768,"['DURALUX™ soft-shell fabric provides durability and a cottonlike feel; fabric is strong, breathable, quick-drying and resists abrasion', 'Durable water repellent (DWR) finish on fabric resists moisture and stains', 'Articulated knees offer freedom of mobility for hikes, climbs and more', 'UPF 50+ fabric shields you from harmful UV rays', 'Microsuede-lined waistband provides comfort', '8 total pockets—2 front hand, 2 zippered side, 2 back and 2 stealth—provide abundant storage', '1 open and 1 zippered back pocket offer easy access on the left and secure carry on the right', 'Cuffs cinch for a secure fit', 'KUHL Tapered fit']"
